4/3/2025	152.63
4/4/2025	147.74
4/7/2025	149.24
4/8/2025	146.58
4/9/2025	161.06
4/10/2025	155.37
4/11/2025	159.40
4/14/2025	161.47
4/15/2025	158.68
4/16/2025	155.50
4/17/2025	153.36
4/21/2025	149.86
4/22/2025	153.90
4/23/2025	157.72
4/24/2025	161.47
4/25/2025	163.85
4/28/2025	162.42
4/29/2025	162.06
4/30/2025	160.89
5/1/2025	162.79
5/2/2025	165.81
5/5/2025	166.05
5/6/2025	165.20
5/7/2025	152.80
5/8/2025	155.75
5/9/2025	154.38
5/12/2025	159.58
5/13/2025	160.89
5/14/2025	166.81
5/15/2025	165.40
5/16/2025	167.43
5/19/2025	167.87
5/20/2025	165.32
5/21/2025	170.06
5/22/2025	171.98
5/23/2025	169.59
5/27/2025	173.98
5/28/2025	173.38
5/29/2025	172.96
5/30/2025	172.85
6/2/2025	170.37
6/3/2025	167.71
6/4/2025	169.39
6/5/2025	169.81
6/6/2025	174.92
6/9/2025	177.63
6/10/2025	180.01
6/11/2025	178.79
6/12/2025	176.97
6/13/2025	175.88
6/16/2025	177.94
6/17/2025	177.23
6/18/2025	173.98
6/20/2025	167.73
6/23/2025	166.01
6/24/2025	167.74
6/25/2025	171.49
6/26/2025	174.43
6/27/2025	178.27
6/30/2025	177.39
7/1/2025	176.91
7/2/2025	179.76
7/3/2025	180.55
7/7/2025	177.56
7/8/2025	175.16
7/9/2025	177.66
7/10/2025	178.70
7/11/2025	181.31
7/14/2025	182.81
7/15/2025	183.10
7/16/2025	183.77
7/17/2025	184.70
7/18/2025	185.94
7/21/2025	191.15
7/22/2025	192.11
7/23/2025	191.51
7/24/2025	193.20
7/25/2025	194.08
7/28/2025	193.42
7/29/2025	196.43
7/30/2025	197.44
7/31/2025	192.86
8/1/2025	189.95
8/4/2025	195.75
8/5/2025	195.32
8/6/2025	196.92
8/7/2025	197.28
8/8/2025	202.09
8/11/2025	201.63
8/12/2025	204.16
8/13/2025	203.03
8/14/2025	203.82
8/15/2025	204.91
8/18/2025	204.29
8/19/2025	202.49
8/20/2025	200.19
8/21/2025	200.62
8/22/2025	206.72
8/25/2025	209.16
8/26/2025	207.95
8/27/2025	208.21
8/28/2025	212.37
8/29/2025	213.53
9/2/2025	211.99
9/3/2025	231.10
9/4/2025	232.66
9/5/2025	235.17
9/8/2025	234.16
9/9/2025	239.94
9/10/2025	239.56
9/11/2025	240.78
9/12/2025	241.38
9/15/2025	251.76
9/16/2025	251.42
9/17/2025	249.85
9/18/2025	252.33
9/19/2025	255.24
9/22/2025	252.88
9/23/2025	252.34
9/24/2025	247.83
9/25/2025	246.57
9/26/2025	247.18
9/29/2025	244.36
9/30/2025	243.55
10/1/2025	245.54
10/2/2025	246.43
10/3/2025	246.45
10/6/2025	251.51
10/7/2025	247.13
10/8/2025	245.46
10/9/2025	242.21
10/10/2025	237.49
10/13/2025	244.64
10/14/2025	246.19
10/15/2025	251.71
10/16/2025	251.88
10/17/2025	253.79
10/20/2025	257.02
10/21/2025	251.34
10/22/2025	252.53
10/23/2025	253.73
10/24/2025	260.51
10/27/2025	269.93
10/28/2025	268.43
10/29/2025	275.17
10/30/2025	281.90
10/31/2025	281.82
11/3/2025	284.12
11/4/2025	278.06
11/5/2025	284.75
11/6/2025	285.34
11/7/2025	279.70
11/10/2025	290.59
11/11/2025	291.74
11/12/2025	287.43
11/13/2025	279.12
11/14/2025	276.98
11/17/2025	285.60
11/18/2025	284.96
11/19/2025	292.99
11/20/2025	289.98
11/21/2025	299.65
11/24/2025	318.47
11/25/2025	323.64
11/26/2025	320.28
11/28/2025	320.12
12/1/2025	315.12
12/2/2025	316.02
12/3/2025	320.62
12/4/2025	318.39
12/5/2025	322.09
12/8/2025	314.45
12/9/2025	317.75
12/10/2025	321.00
12/11/2025	313.70
12/12/2025	310.52
12/15/2025	309.32
12/16/2025	307.73
12/17/2025	298.06
12/18/2025	303.75
12/19/2025	308.61
12/22/2025	311.33
12/23/2025	315.68
12/24/2025	315.67
12/26/2025	314.96
12/29/2025	314.39
12/30/2025	314.55
12/31/2025	313.80
1/2/2026	315.32
1/5/2026	317.32
1/6/2026	314.55
1/7/2026	322.43
1/8/2026	326.01
1/9/2026	329.14
1/12/2026	332.73
1/13/2026	336.43
1/14/2026	336.31
1/15/2026	333.16
1/16/2026	330.34
1/20/2026	322.16
1/21/2026	328.38
1/22/2026	330.84
1/23/2026	328.43
1/26/2026	333.59
1/27/2026	335.00
1/28/2026	336.28
1/29/2026	338.66
1/30/2026	338.53
2/2/2026	344.90
2/3/2026	340.70
2/4/2026	333.34
2/5/2026	331.33
2/6/2026	323.10
2/9/2026	324.40
2/10/2026	318.63
2/11/2026	311.33
2/12/2026	309.37
2/13/2026	306.02
2/17/2026	302.82
2/18/2026	303.94
2/19/2026	303.56
2/20/2026	314.90
2/23/2026	311.69
2/24/2026	310.92
2/25/2026	313.03
2/26/2026	307.15
2/27/2026	311.43
3/2/2026	306.36
3/3/2026	303.56
3/4/2026	303.45
3/5/2026	300.91
3/6/2026	298.30
3/9/2026	306.01
3/10/2026	306.93
3/11/2026	308.42
3/12/2026	303.21
3/13/2026	301.46
3/16/2026	304.42
3/17/2026	309.41
3/18/2026	306.30
3/19/2026	305.73
3/20/2026	298.79
3/23/2026	299.02
3/24/2026	289.20
3/25/2026	289.59
3/26/2026	280.74
3/27/2026	273.76
3/30/2026	273.14
3/31/2026	286.86
4/1/2026	294.90
4/2/2026	294.46
