Date	Close/Last
4/2/2025	196.62
4/3/2025	199.95
4/4/2025	186.95
4/7/2025	184.75
4/8/2025	183.26
4/9/2025	192.90
4/10/2025	191.82
4/11/2025	194.70
4/14/2025	195.79
4/15/2025	195.99
4/16/2025	196.57
4/17/2025	197.37
4/21/2025	194.57
4/22/2025	197.90
4/23/2025	195.68
4/24/2025	196.72
4/25/2025	194.47
4/28/2025	194.08
4/29/2025	195.53
4/30/2025	197.63
5/1/2025	196.18
5/2/2025	197.80
5/5/2025	197.92
5/6/2025	198.38
5/7/2025	198.39
5/8/2025	195.56
5/9/2025	195.29
5/12/2025	186.58
5/13/2025	185.77
5/14/2025	186.28
5/15/2025	190.97
5/16/2025	191.92
5/19/2025	193.37
5/20/2025	196.03
5/21/2025	195.93
5/22/2025	194.91
5/23/2025	196.84
5/27/2025	196.45
5/28/2025	195.48
5/29/2025	194.39
5/30/2025	197.09
6/2/2025	196.31
6/3/2025	193.30
6/4/2025	191.53
6/5/2025	192.08
6/6/2025	190.22
6/9/2025	188.99
6/10/2025	188.83
6/11/2025	189.32
6/12/2025	191.46
6/13/2025	190.67
6/16/2025	187.08
6/17/2025	187.72
6/18/2025	187.14
6/20/2025	185.72
6/23/2025	187.63
6/24/2025	188.16
6/25/2025	185.68
6/26/2025	187.49
6/27/2025	185.90
6/30/2025	185.87
7/1/2025	185.87
7/2/2025	178.10
7/3/2025	180.73
7/7/2025	182.21
7/8/2025	181.19
7/9/2025	182.07
7/10/2025	182.01
7/11/2025	183.38
7/14/2025	184.44
7/15/2025	183.62
7/16/2025	182.84
7/17/2025	182.23
7/18/2025	182.64
7/21/2025	182.01
7/22/2025	184.78
7/23/2025	184.43
7/24/2025	188.24
7/25/2025	186.95
7/28/2025	186.06
7/29/2025	191.84
7/30/2025	189.19
7/31/2025	186.67
8/1/2025	186.57
8/4/2025	187.37
8/5/2025	186.82
8/6/2025	187.86
8/7/2025	188.07
8/8/2025	187.89
8/11/2025	190.58
8/12/2025	187.40
8/13/2025	185.74
8/14/2025	184.73
8/15/2025	184.77
8/18/2025	184.82
8/19/2025	186.17
8/20/2025	185.80
8/21/2025	186.48
8/22/2025	184.78
8/25/2025	182.19
8/26/2025	182.88
8/27/2025	183.23
8/28/2025	183.24
8/29/2025	184.81
9/2/2025	182.85
9/3/2025	180.69
9/4/2025	181.27
9/5/2025	179.30
9/8/2025	178.39
9/9/2025	177.61
9/10/2025	176.21
9/11/2025	178.14
9/12/2025	176.07
9/15/2025	175.57
9/16/2025	173.58
9/17/2025	173.35
9/18/2025	175.41
9/19/2025	173.97
9/22/2025	172.97
9/23/2025	172.03
9/24/2025	172.25
9/25/2025	171.32
9/26/2025	172.41
9/29/2025	174.30
9/30/2025	175.80
10/1/2025	175.12
10/2/2025	173.03
10/3/2025	174.42
10/6/2025	174.15
10/7/2025	173.46
10/8/2025	173.69
10/9/2025	170.20
10/10/2025	172.85
10/13/2025	172.00
10/14/2025	172.56
10/15/2025	169.74
10/16/2025	170.84
10/17/2025	172.97
10/20/2025	174.00
10/21/2025	173.80
10/22/2025	178.47
10/23/2025	176.81
10/24/2025	176.82
10/27/2025	174.78
10/28/2025	174.14
10/29/2025	168.43
10/30/2025	170.99
10/31/2025	167.68
11/3/2025	165.76
11/4/2025	168.73
11/5/2025	165.96
11/6/2025	165.31
11/7/2025	166.18
11/10/2025	165.94
11/11/2025	167.44
11/12/2025	168.79
11/13/2025	167.39
11/14/2025	168.63
11/17/2025	169.31
11/18/2025	172.16
11/19/2025	174.68
11/20/2025	173.52
11/21/2025	175.30
11/24/2025	173.15
11/25/2025	176.50
11/26/2025	177.03
11/28/2025	176.55
12/1/2025	174.16
12/2/2025	173.28
12/3/2025	174.26
12/4/2025	173.25
12/5/2025	173.11
12/8/2025	170.40
12/9/2025	168.32
12/10/2025	168.01
12/11/2025	171.36
12/12/2025	172.63
12/15/2025	176.47
12/16/2025	176.02
12/17/2025	176.00
12/18/2025	175.62
12/19/2025	175.18
12/22/2025	177.00
12/23/2025	177.69
12/24/2025	177.84
12/26/2025	178.14
12/29/2025	178.54
12/30/2025	178.15
12/31/2025	175.36
1/2/2026	174.12
1/5/2026	173.94
1/6/2026	174.30
1/7/2026	168.53
1/8/2026	168.22
1/9/2026	166.31
1/12/2026	166.22
1/13/2026	163.06
1/14/2026	164.79
1/15/2026	167.63
1/16/2026	167.11
1/20/2026	164.25
1/21/2026	166.50
1/22/2026	170.15
1/23/2026	170.22
1/26/2026	171.29
1/27/2026	169.56
1/28/2026	169.36
1/29/2026	167.23
1/30/2026	167.60
2/2/2026	168.10
2/3/2026	166.32
2/4/2026	169.28
2/5/2026	169.18
2/6/2026	169.20
2/9/2026	171.85
2/10/2026	170.65
2/11/2026	171.70
2/12/2026	157.58
2/13/2026	160.26
2/17/2026	161.28
2/18/2026	162.76
2/19/2026	166.06
2/20/2026	163.62
2/23/2026	163.00
2/24/2026	165.48
2/25/2026	166.60
2/26/2026	169.34
2/27/2026	172.13
3/2/2026	173.16
3/3/2026	172.57
3/4/2026	169.84
3/5/2026	170.73
3/6/2026	170.14
3/9/2026	171.73
3/10/2026	165.54
3/11/2026	166.69
3/12/2026	166.96
3/13/2026	166.52
3/16/2026	167.24
3/17/2026	167.04
3/18/2026	163.71
3/19/2026	164.83
3/20/2026	162.59
3/23/2026	162.30
3/24/2026	157.78
3/25/2026	157.06
3/26/2026	157.18
3/27/2026	156.02
3/30/2026	161.86
3/31/2026	162.44
4/1/2026	162.82
4/2/2026	166.08
