4/2/2025	282.76
4/3/2025	267.28
4/4/2025	239.43
4/7/2025	233.29
4/8/2025	221.86
4/9/2025	272.20
4/10/2025	252.40
4/11/2025	252.31
4/14/2025	252.35
4/15/2025	254.11
4/16/2025	241.55
4/17/2025	241.37
4/21/2025	227.50
4/22/2025	237.97
4/23/2025	250.74
4/24/2025	259.51
4/25/2025	284.95
4/28/2025	285.88
4/29/2025	292.03
4/30/2025	282.16
5/1/2025	280.52
5/2/2025	287.21
5/5/2025	280.26
5/6/2025	275.35
5/7/2025	276.22
5/8/2025	284.82
5/9/2025	298.26
5/12/2025	318.38
5/13/2025	334.07
5/14/2025	347.68
5/15/2025	342.82
5/16/2025	349.98
5/19/2025	342.09
5/20/2025	343.82
5/21/2025	334.62
5/22/2025	341.04
5/23/2025	339.34
5/27/2025	362.89
5/28/2025	356.90
5/29/2025	358.43
5/30/2025	346.46
6/2/2025	342.69
6/3/2025	344.27
6/4/2025	332.05
6/5/2025	284.70
6/6/2025	295.14
6/9/2025	308.58
6/10/2025	326.09
6/11/2025	326.43
6/12/2025	319.11
6/13/2025	325.31
6/16/2025	329.13
6/17/2025	316.35
6/18/2025	322.05
6/20/2025	322.16
6/23/2025	348.68
6/24/2025	340.47
6/25/2025	327.55
6/26/2025	325.78
6/27/2025	323.63
6/30/2025	317.66
7/1/2025	300.71
7/2/2025	315.65
7/3/2025	315.35
7/7/2025	293.94
7/8/2025	297.81
7/9/2025	295.88
7/10/2025	309.87
7/11/2025	313.51
7/14/2025	316.90
7/15/2025	310.78
7/16/2025	321.67
7/17/2025	319.41
7/18/2025	329.65
7/21/2025	328.49
7/22/2025	332.11
7/23/2025	332.56
7/24/2025	305.30
7/25/2025	316.06
7/28/2025	325.59
7/29/2025	321.20
7/30/2025	319.04
7/31/2025	308.27
8/1/2025	302.63
8/4/2025	309.26
8/5/2025	308.72
8/6/2025	319.91
8/7/2025	322.27
8/8/2025	329.65
8/11/2025	339.03
8/12/2025	340.84
8/13/2025	339.38
8/14/2025	335.58
8/15/2025	330.56
8/18/2025	335.16
8/19/2025	329.31
8/20/2025	323.90
8/21/2025	320.11
8/22/2025	340.01
8/25/2025	346.60
8/26/2025	351.67
8/27/2025	349.60
8/28/2025	345.98
8/29/2025	333.87
9/2/2025	329.36
9/3/2025	334.09
9/4/2025	338.53
9/5/2025	350.84
9/8/2025	346.40
9/9/2025	346.97
9/10/2025	347.79
9/11/2025	368.81
9/12/2025	395.94
9/15/2025	410.04
9/16/2025	421.62
9/17/2025	425.86
9/18/2025	416.85
9/19/2025	426.07
9/22/2025	434.21
9/23/2025	425.85
9/24/2025	442.79
9/25/2025	423.39
9/26/2025	440.40
9/29/2025	443.21
9/30/2025	444.72
10/1/2025	459.46
10/2/2025	436.00
10/3/2025	429.83
10/6/2025	453.25
10/7/2025	433.09
10/8/2025	438.69
10/9/2025	435.54
10/10/2025	413.49
10/13/2025	435.90
10/14/2025	429.24
10/15/2025	435.15
10/16/2025	428.75
10/17/2025	439.31
10/20/2025	447.43
10/21/2025	442.60
10/22/2025	438.97
10/23/2025	448.98
10/24/2025	433.72
10/27/2025	452.42
10/28/2025	460.55
10/29/2025	461.51
10/30/2025	440.10
10/31/2025	456.56
11/3/2025	468.37
11/4/2025	444.26
11/5/2025	462.07
11/6/2025	445.91
11/7/2025	429.52
11/10/2025	445.23
11/11/2025	439.62
11/12/2025	430.60
11/13/2025	401.99
11/14/2025	404.35
11/17/2025	408.92
11/18/2025	401.25
11/19/2025	403.99
11/20/2025	395.23
11/21/2025	391.09
11/24/2025	417.78
11/25/2025	419.40
11/26/2025	426.58
11/28/2025	430.17
12/1/2025	430.14
12/2/2025	429.24
12/3/2025	446.74
12/4/2025	454.53
12/5/2025	455.00
12/8/2025	439.58
12/9/2025	445.17
12/10/2025	451.45
12/11/2025	446.89
12/12/2025	458.96
12/15/2025	475.31
12/16/2025	489.88
12/17/2025	467.26
12/18/2025	483.37
12/19/2025	481.20
12/22/2025	488.73
12/23/2025	485.56
12/24/2025	485.40
12/26/2025	475.19
12/29/2025	459.64
12/30/2025	454.43
12/31/2025	449.72
1/2/2026	438.07
1/5/2026	451.67
1/6/2026	432.96
1/7/2026	431.41
1/8/2026	435.80
1/9/2026	445.01
1/12/2026	448.96
1/13/2026	447.20
1/14/2026	439.20
1/15/2026	438.57
1/16/2026	437.50
1/20/2026	419.25
1/21/2026	431.44
1/22/2026	449.36
1/23/2026	449.06
1/26/2026	435.20
1/27/2026	430.90
1/28/2026	431.46
1/29/2026	416.56
1/30/2026	430.41
2/2/2026	421.81
2/3/2026	421.96
2/4/2026	406.01
2/5/2026	397.21
2/6/2026	411.11
2/9/2026	417.32
2/10/2026	425.21
2/11/2026	428.27
2/12/2026	417.07
2/13/2026	417.44
2/17/2026	410.63
2/18/2026	411.32
2/19/2026	411.71
2/20/2026	411.82
2/23/2026	399.83
2/24/2026	409.38
2/25/2026	417.40
2/26/2026	408.58
2/27/2026	402.51
3/2/2026	403.32
3/3/2026	392.43
3/4/2026	405.94
3/5/2026	405.55
3/6/2026	396.73
3/9/2026	398.68
3/10/2026	399.24
3/11/2026	407.82
3/12/2026	395.01
3/13/2026	391.20
3/16/2026	395.56
3/17/2026	399.27
3/18/2026	392.78
3/19/2026	380.30
3/20/2026	367.96
3/23/2026	380.85
3/24/2026	383.03
3/25/2026	385.95
3/26/2026	372.11
3/27/2026	361.83
3/30/2026	355.28
3/31/2026	371.75
4/1/2026	381.26
4/2/2026	360.59
